ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
bajkal_hotel,Отель Байкал,2026-08-23,72,23,45,31.94,9500.00
angara_hotel,Ангара Отель,2026-08-23,300,52,93,17.33,5250.00
irkutsk_city_center,Отель Иркутск Сити Центр,2026-08-23,206,12,24,5.83,10500.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,2026-08-23,15,6,11,40.0,5167.05
evropa_hotel,Отель Европа,2026-08-23,58,7,7,12.07,5040.00
otel_irkut,Отель Иркут,2026-08-23,30,10,18,33.33,3350.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-08-23,46,6,12,13.04,17100.00
wind_lake_guest_house,Wind Lake,2026-08-23,15,17,34,100.0,16617.00
hotel_harats_inn,Отель Harat's inn,2026-08-23,12,8,16,66.67,5440.00
hotel_dacha_baikaleco,Семейный отель Дача БайкалЭко,2026-08-23,10,4,8,40.0,9600.00
tajga_hotel,Отель Тайга,2026-08-23,44,11,22,25.0,6600.00
victory_hotel_4,Гостиница Виктория,2026-08-23,30,21,42,70.0,4800.00
hotel_anastasiya_2,Отель ГК Анастасия,2026-08-23,26,29,55,100.0,9100.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-08-23,100,27,51,27.0,7000.00
history_boutiquehotel,Отель HISTORY Бутик-отель и СПА,2026-08-23,40,50,100,100.0,22443.75
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-08-23,56,35,70,62.5,4747.00
hotel_olkhonhill,Отель Olkhon-hill,2026-08-23,17,16,32,94.12,6500.00
vera_baikal,Отель Вера Байкал,2026-08-23,38,21,42,55.26,7900.00
podlemorie_hotel,Отель Подлеморье,2026-08-23,14,7,14,50.0,6000.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-08-23,48,18,49,37.5,3500.00
hotel_nikola_2,Отель Никола,2026-08-23,27,24,48,88.89,6520.00
hotel_nataly_2,Отель Натали,2026-08-23,12,4,7,33.33,3800.00
parus_18,Курортный отель Парус,2026-08-23,17,7,14,41.18,5100.00
grand_baikal,Отель Гранд Байкал,2026-08-23,64,13,24,20.31,4253.00
vozdushnaya_gavan,Отель Воздушная Гавань,2026-08-23,140,25,50,17.86,5341.00
praskovya_guest_house,Отель Прасковья,2026-08-23,12,4,5,33.33,1979.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-08-23,28,12,24,42.86,8100.00
miniotel_good_hotel,Мини-Отель Good Hotel,2026-08-23,6,1,2,16.67,2200.00
bolshoe_puteshestvie_hotel,Кемпинг Отель Ольхон,2026-08-23,10,12,30,100.0,3953.00
baykal_khan_listvyanka,Отель Байкал Хан п.Листвянка,2026-08-23,18,9,18,50.0,8340.00
gostevoy_dom_holiday_park_on_olkhon,Holiday park on Olkhon,2026-08-23,0,4,8,100.0,4320.00
international_hotel_sayen,SAYEN,2026-08-23,25,14,28,56.0,20000.00
lyuks_hotel_4,Отель Люкс,2026-08-23,15,10,20,66.67,2473.00
gostevoy_dom_sunrise,Sunrise,2026-08-23,0,3,7,100.0,7421.00
baykal_shale_guest_house,Байкал Шале,2026-08-23,11,2,6,18.18,7916.00
otel_tsentral,Отель Централь,2026-08-23,48,44,88,91.67,8075.00
baza_otdykha_gostiny_dvor_vdokhnovenie,Отель Гостиный Двор Вдохновение,2026-08-23,34,11,23,32.35,6000.00
yakovlev_hotel,Отель Яковлевъ,2026-08-23,25,3,6,12.0,4327.00
empire_hotel_3,Гостиница Империя,2026-08-23,49,11,19,22.45,5100.00
guest_house_baykaliya,Байкалия,2026-08-23,0,5,10,100.0,7421.00
the_sky_of_lake_baikal,Небо Байкала,2026-08-23,0,10,23,100.0,3463.00
azatai_park_hotel,"Парк-отель ""Азатай""",2026-08-23,0,31,66,100.0,14849.00
inn_business_hall,Отель Business Hall,2026-08-23,18,8,15,44.44,3790.00
minihotel_albatros,Гостиница Альбатрос,2026-08-23,12,6,16,50.0,2900.00
mini_hotel_vizit,Гостиница Визит,2026-08-23,8,4,9,50.0,2671.00
best_eastern_hotel_zvezda,Отель Звезда,2026-08-23,65,52,104,80.0,7118.00
aristokrat_hotel,Отель Аристократ,2026-08-23,12,6,8,50.0,5100.00
olkhon_inn,Olkhon Inn,2026-08-23,0,35,70,100.0,5700.00
uda_2,Отель УДА,2026-08-23,45,37,54,82.22,1682.00
mayak_hotel_listvyanka,Отель Маяк,2026-08-23,54,19,33,35.19,7000.00
olkhonstory_guest_house,История Ольхона,2026-08-23,6,8,16,100.0,7453.00
archi_apt_apartments,Отель Baikal Archi Apt,2026-08-23,7,5,10,71.43,4007.00
atlas_hotel_3,Гостиница Атлас,2026-08-23,29,9,20,31.03,4622.40
baikal_business_center_hotel,Отель Байкал Бизнес Центр,2026-08-23,59,2,4,3.39,7500.00
hotel_flagman_olkhona,Отель Флагман Ольхона,2026-08-23,15,8,16,53.33,9100.00
larus,Отель Ларус,2026-08-23,14,4,8,28.57,5214.00
baikal_forest_hotel,Отель Форест,2026-08-23,156,11,22,7.05,10150.00
gostevoj_dom_otdyih_na_bajkale,Отель Отдых на Байкале,2026-08-23,11,8,15,72.73,2476.00
aura_baykala_guest_house,Аура Байкала,2026-08-23,0,7,14,100.0,5937.00
lotos_hotel,Отель Лотос,2026-08-23,23,9,19,39.13,2500.00
montana_hostel,Меблированные комнаты Montana,2026-08-23,22,11,13,50.0,900.00
matreshka_hotel,Отель Матрешка,2026-08-23,35,32,58,91.43,4432.00
hotel_kurshavel_,Отель Куршавель,2026-08-23,15,14,30,93.33,4000.00
7_dorog,Гостиница 7 дорог,2026-08-23,19,9,18,47.37,5700.00
bajkal_severnoe_more_hotel,Отель Байкал - Северное Море,2026-08-23,119,96,194,80.67,7041.00
burduguz_hotel_2,Парк-Отель Бурдугуз,2026-08-23,69,1,2,1.45,50575.00
gostinitsa_akademicheskaya,Отель Гостиница Академическая,2026-08-23,48,9,17,18.75,4400.00
baykal_guest_house_3,Меблированные комнаты Байкал,2026-08-23,0,14,19,100.0,3463.00
legendy_baykala,Гостиница Легенды Байкала,2026-08-23,18,5,8,27.78,1137.00
city_park_hotel_13,Меблированные комнаты City Park,2026-08-23,0,5,10,100.0,2361.00
alaniya,Алания,2026-08-23,0,5,10,100.0,3958.00
magas,Отель на Перроне,2026-08-23,25,21,43,84.0,1483.00
gostevoj_dom_na_zvezdinskoj,Отель на Звездинской,2026-08-23,25,35,75,100.0,3750.00
hotel_sozvezdie_baikala,Отель Созвездие Байкала,2026-08-23,22,15,30,68.18,6300.00
taiga_2,Отель Тайга,2026-08-23,101,37,75,36.63,5531.00
baza_otdykha_village_hvoy,Вилладж Хвоя,2026-08-23,0,10,20,100.0,9341.00
inn_oasis_2,База отдыха Оазис,2026-08-23,13,10,20,76.92,5937.00
nochleg_i_zavtrak_bb_shambala,Загородный отель Шамбала,2026-08-23,10,8,16,80.0,8905.00
dream_of_baikal_hotel,Отель Dream of Baikal,2026-08-23,19,15,27,78.95,6530.00
mihail_strogov,Отель Михаил Строгов,2026-08-23,20,4,6,20.0,3909.00
guesthouse_dudeevukh,Меблированные комнаты Дудеевых,2026-08-23,0,2,5,100.0,3463.00
baza_otdykha_olkhon,База отдыха Ольхон,2026-08-23,50,3,8,6.0,4936.00
tikhaya_gavan_4,"Отель ""Тихая Гавань""",2026-08-23,12,3,8,25.0,4057.00
momant_house_recreation_camp,Momant house,2026-08-23,0,3,10,100.0,5937.00
izumrud_hotel_7,Отель Изумруд,2026-08-23,9,4,6,44.44,4947.00
less_guest_house,Меблированные комнаты Лесс,2026-08-23,0,6,11,100.0,9796.00
artrezidentsiya_port_olhon,Арт-отель Порт Ольхон,2026-08-23,65,22,46,33.85,16000.00
miniotel_medveditsa,Меблированные комнаты Медведица,2026-08-23,0,8,15,100.0,4660.00
beliy_sobol_parkhotel,Парк-отель Белый Соболь,2026-08-23,32,16,40,50.0,12700.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,2026-08-23,14,9,18,64.29,8108.00
krestovaya_pad_hotel,Гостиница Крестовая падь,2026-08-23,27,7,13,25.93,9500.00
baikal_view_hotel,Baikal View Hotel,2026-08-23,99,135,272,100.0,9434.00
yolochka,Меблированные комнаты Ёлочка,2026-08-23,6,9,19,100.0,4000.00
gostevoy_dom_briz_3,Меблированные комнаты БРИЗ,2026-08-23,16,12,28,75.0,4452.00
armat_hotel,Отель Армат,2026-08-23,40,31,62,77.5,6500.00
hotel_u_ruchyya,Отель У ручья,2026-08-23,9,5,12,55.56,3463.00
miniotel_serdtse_baykala,Сердце Байкала,2026-08-23,0,5,16,100.0,12369.00
hotel_baikal_best_edelweiss,Отель Байкал Эдельвейс,2026-08-23,10,9,22,90.0,6431.00
luna_hotel_9,Отель Луна,2026-08-23,22,5,9,22.73,3000.00
hotel_angara,Отель Ангара-Приоритет,2026-08-23,31,22,48,70.97,3800.00
baza_otdykha_akvamarin,Аквамарин,2026-08-23,35,14,29,40.0,8114.00
hotel_olimpiada,Олимпиада,2026-08-23,29,18,23,62.07,800.00
dom_baykal_guest_house,Меблированные комнаты Дом Байкал,2026-08-23,15,5,13,33.33,3166.00
amurskiy,Отель Амурский,2026-08-23,17,14,32,82.35,19900.00
hotel_gostinitsa_dinamo,Отель Динамо,2026-08-23,39,21,39,53.85,1128.00
vostochnaia,Гостиница Восточная,2026-08-23,26,24,47,92.31,4200.00
