ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
irkutsk_city_center,Отель Иркутск Сити Центр,2026-07-10,206,20,40,9.71,6500.00
tajga_hotel,Отель Тайга,2026-07-10,44,10,20,22.73,3990.00
hotel_nikola_2,Отель Никола,2026-07-10,27,21,42,77.78,5850.00
lyuks_hotel_4,Отель Люкс,2026-07-10,15,11,22,73.33,2473.00
otel_irkut,Отель Иркут,2026-07-10,30,15,28,50.0,3200.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-07-10,28,14,28,50.0,6900.00
yakovlev_hotel,Отель Яковлевъ,2026-07-10,25,2,6,8.0,4744.00
taiga_2,Отель Taiga,2026-07-10,101,56,82,55.45,5531.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-07-10,67,17,17,25.37,3500.00
olkhonstory_guest_house,История Ольхона,2026-07-10,6,6,9,100.0,7941.00
hotel_flagman_olkhona,Отель Флагман Ольхона,2026-07-10,15,14,28,93.33,6132.00
vozdushnaya_gavan,Отель Воздушная Гавань,2026-07-10,140,40,75,28.57,4747.00
malinovka_3,Малиновка,2026-07-10,0,1,3,100.0,6924.00
victory_hotel_4,Гостиница Виктория,2026-07-10,30,16,32,53.33,4800.00
empire_hotel_3,Гостиница Империя,2026-07-10,49,11,19,22.45,4500.00
best_eastern_hotel_zvezda,Отель Звезда,2026-07-10,65,56,112,86.15,6624.00
archi_apt_apartments,Отель Baikal Archi Apt,2026-07-10,7,6,13,85.71,4937.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-07-10,46,36,72,78.26,18000.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-07-10,56,60,103,100.0,4550.00
grand_baikal,Отель Гранд Байкал,2026-07-10,64,11,20,17.19,4253.00
hotel_nataly_2,Отель Натали,2026-07-10,12,2,3,16.67,3800.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-07-10,100,39,75,39.0,7000.00
flagman_hotel_4,Отель Флагман,2026-07-10,13,7,10,53.85,6000.00
minihotel_albatros,Гостиница Альбатрос,2026-07-10,12,3,10,25.0,2900.00
gostevoy_dom_sunrise,Sunrise,2026-07-10,0,4,10,100.0,7421.00
aristokrat_hotel,Отель Аристократ,2026-07-10,12,5,9,41.67,4200.00
angara_hotel,Ангара Отель,2026-07-10,300,70,125,23.33,5250.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,2026-07-10,0,1,2,100.0,2077.00
baikal_forest_hotel,Отель Форест,2026-07-10,156,21,42,13.46,5788.00
inn_business_hall,Отель Business Hall,2026-07-10,18,3,6,16.67,4471.00
baykal_khan_listvyanka,Отель Байкал Хан п.Листвянка,2026-07-10,18,3,9,16.67,10320.00
lada_8,Отель Гостиница ЛАДА,2026-07-10,22,14,23,63.64,3100.00
hotel_angara,Отель Ангара-Приоритет,2026-07-10,31,23,50,74.19,3800.00
otel_tsentral,Отель Централь,2026-07-10,48,58,116,100.0,7900.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,2026-07-10,14,7,14,50.0,7297.00
olkhon_inn,Olkhon Inn,2026-07-10,0,27,54,100.0,5700.00
miniotel_gostinitsa_nerpenok,Нерпенок,2026-07-10,0,6,16,100.0,6431.00
history_boutiquehotel,Отель HISTORY Бутик-отель и СПА,2026-07-10,40,41,82,100.0,22443.75
baikal_view_hotel,Baikal View Hotel,2026-07-10,99,123,248,100.0,8620.00
baykal_guest_house_3,Меблированные комнаты Байкал,2026-07-10,0,3,5,100.0,3463.00
guest_house_baykal,В объятиях Байкала,2026-07-10,0,4,8,100.0,8000.00
baza_otdykha_olkhon,База отдыха Ольхон,2026-07-10,50,31,85,62.0,4953.00
ibis_irkutsk_center,Отель Ибис Иркутск Центр,2026-07-10,128,66,132,51.56,5250.00
podlemorie_hotel,Отель Подлеморье,2026-07-10,14,2,4,14.29,7500.00
beliy_sobol_parkhotel,Парк-отель Белый Соболь,2026-07-10,32,8,20,25.0,9940.00
