ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
irkutsk_city_center,Отель Иркутск Сити Центр,2026-08-29,206,130,260,63.11,5500.00
tajga_hotel,Отель Тайга,2026-08-29,44,34,64,77.27,3640.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,2026-08-29,15,12,20,80.0,3163.50
ibis_irkutsk_center,Отель Ибис Иркутск Центр,2026-08-29,128,75,150,58.59,5150.00
victory_hotel_4,Гостиница Виктория,2026-08-29,30,42,84,100.0,3800.00
angara_hotel,Ангара Отель,2026-08-29,300,94,157,31.33,5250.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-08-29,56,60,104,100.0,3640.00
evropa_hotel,Отель Европа,2026-08-29,58,32,53,55.17,5040.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-08-29,46,30,60,65.22,17100.00
hotel_harats_inn,Отель Harat's inn,2026-08-29,12,10,20,83.33,4352.00
hotel_nikola_2,Отель Никола,2026-08-29,27,29,58,100.0,5236.00
otel_irkut,Отель Иркут,2026-08-29,30,16,29,53.33,3350.00
divobaykala_flat_1,Диво Байкала 1,2026-08-29,0,1,2,100.0,2473.50
hotel_anastasiya_2,Отель ГК Анастасия,2026-08-29,26,31,60,100.0,7600.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-08-29,100,58,116,58.0,7500.00
podlemorie_hotel,Отель Подлеморье,2026-08-29,14,9,18,64.29,4800.00
history_boutiquehotel,Отель HISTORY Бутик-отель и СПА,2026-08-29,40,38,76,95.0,22443.75
lyuks_hotel_4,Отель Люкс,2026-08-29,15,11,22,73.33,2473.00
bajkal_hotel,Отель Байкал,2026-08-29,72,38,74,52.78,9500.00
hotel_nataly_2,Отель Натали,2026-08-29,12,6,10,50.0,3800.00
yakovlev_hotel,Отель Яковлевъ,2026-08-29,25,8,17,32.0,2916.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-08-29,28,18,35,64.29,7200.00
vozdushnaya_gavan,Отель Воздушная Гавань,2026-08-29,140,35,70,25.0,5341.00
hotel_flagman_olkhona,Отель Флагман Ольхона,2026-08-29,15,23,46,100.0,5143.00
grand_baikal,Отель Гранд Байкал,2026-08-29,64,13,24,20.31,4253.00
wind_lake_guest_house,Wind Lake,2026-08-29,15,7,14,46.67,16617.00
vera_baikal,Отель Вера Байкал,2026-08-29,38,43,86,100.0,7900.00
otel_tsentral,Отель Централь,2026-08-29,48,56,112,100.0,7505.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-08-29,48,4,8,8.33,4100.00
baykal_shale_guest_house,Байкал Шале,2026-08-29,11,14,31,100.0,5194.00
praskovya_guest_house,Отель Прасковья,2026-08-29,12,10,13,83.33,1979.00
parus_18,Курортный отель Парус,2026-08-29,17,9,19,52.94,5100.00
empire_hotel_3,Гостиница Империя,2026-08-29,49,11,19,22.45,4700.00
baykal_khan_listvyanka,Отель Байкал Хан п.Листвянка,2026-08-29,18,11,22,61.11,8340.00
hotel_sozvezdie_baikala,Отель Созвездие Байкала,2026-08-29,22,13,26,59.09,4500.00
baza_otdykha_gostiny_dvor_vdokhnovenie,Отель Гостиный Двор Вдохновение,2026-08-29,34,20,47,58.82,5500.00
international_hotel_sayen,SAYEN,2026-08-29,25,22,44,88.0,20000.00
gostevoy_dom_sunrise,Sunrise,2026-08-29,0,4,9,100.0,7421.00
mayak_hotel_listvyanka,Отель Маяк,2026-08-29,54,24,44,44.44,7000.00
best_eastern_hotel_zvezda,Отель Звезда,2026-08-29,65,32,64,49.23,6624.00
guest_house_baykaliya,Байкалия,2026-08-29,0,4,8,100.0,7421.00
inn_business_hall,Отель Business Hall,2026-08-29,18,14,26,77.78,3790.00
aristokrat_hotel,Отель Аристократ,2026-08-29,12,15,25,100.0,5100.00
olkhonstory_guest_house,История Ольхона,2026-08-29,6,4,8,66.67,7147.00
azatai_park_hotel,"Парк-отель ""Азатай""",2026-08-29,0,25,50,100.0,14849.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,2026-08-29,0,1,2,100.0,2077.00
larus,Отель Ларус,2026-08-29,14,4,8,28.57,5214.00
mini_hotel_vizit,Гостиница Визит,2026-08-29,8,4,9,50.0,2671.00
archi_apt_apartments,Отель Baikal Archi Apt,2026-08-29,7,4,9,57.14,4293.00
atlas_hotel_3,Гостиница Атлас,2026-08-29,29,10,21,34.48,4622.40
bolshoe_puteshestvie_hotel,Кемпинг Отель Ольхон,2026-08-29,10,15,33,100.0,3953.00
uda_2,Отель УДА,2026-08-29,45,25,32,55.56,1682.00
