ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
angara_hotel,Ангара Отель,2026-08-16,300,58,109,19.33,5250.00
ibis_irkutsk_center,Отель Ибис Иркутск Центр,2026-08-16,128,10,20,7.81,8250.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-08-16,100,46,92,46.0,7500.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-08-16,56,24,47,42.86,3640.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-08-16,28,1,2,3.57,16000.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-08-16,67,18,18,26.87,3500.00
hotel_harats_inn,Отель Harat's inn,2026-08-16,12,9,18,75.0,5440.00
hotel_dacha_baikaleco,Семейный отель Дача БайкалЭко,2026-08-16,10,3,3,30.0,14250.00
tajga_hotel,Отель Тайга,2026-08-16,44,1,2,2.27,10000.00
gostevoy_dom_holiday_park_on_olkhon,Holiday park on Olkhon,2026-08-16,0,2,4,100.0,4320.00
bolshoe_puteshestvie_hotel,Кемпинг Отель Ольхон,2026-08-16,10,8,22,80.0,3953.00
evropa_hotel,Отель Европа,2026-08-16,58,18,35,31.03,5760.00
hotel_nataly_2,Отель Натали,2026-08-16,12,4,7,33.33,3800.00
miniotel_good_hotel,Мини-Отель Good Hotel,2026-08-16,6,2,4,33.33,2200.00
bajkal_hotel,Отель Байкал,2026-08-16,72,5,10,6.94,13500.00
wind_lake_guest_house,Wind Lake,2026-08-16,15,7,9,46.67,16617.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-08-16,46,32,64,69.57,17100.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,2026-08-16,15,11,16,73.33,5167.05
lyuks_hotel_4,Отель Люкс,2026-08-16,15,6,12,40.0,2473.00
tikhaya_gavan_4,"Отель ""Тихая Гавань""",2026-08-16,12,4,10,33.33,4650.00
otel_irkut,Отель Иркут,2026-08-16,30,13,25,43.33,4050.00
empire_hotel_3,Гостиница Империя,2026-08-16,49,11,19,22.45,4900.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,2026-08-16,0,1,2,100.0,2077.00
hotel_nikola_2,Отель Никола,2026-08-16,27,9,18,33.33,7706.00
burduguz_hotel_2,Парк-Отель Бурдугуз,2026-08-16,69,9,18,13.04,16575.00
momant_house_recreation_camp,Momant house,2026-08-16,0,3,10,100.0,5937.00
hotel_olkhonhill,Отель Olkhon-hill,2026-08-16,17,13,26,76.47,6500.00
baza_otdykha_village_hvoy,Вилладж Хвоя,2026-08-16,0,1,1,100.0,21017.00
praskovya_guest_house,Отель Прасковья,2026-08-16,12,8,10,66.67,1979.00
miniotel_medveditsa,Меблированные комнаты Медведица,2026-08-16,0,9,17,100.0,4660.00
inn_business_hall,Отель Business Hall,2026-08-16,18,10,19,55.56,3790.00
guest_house_baykaliya,Байкалия,2026-08-16,0,1,2,100.0,7916.00
aura_baykala_guest_house,Аура Байкала,2026-08-16,0,4,4,100.0,5937.00
baykal_khan_listvyanka,Отель Байкал Хан п.Листвянка,2026-08-16,18,9,23,50.0,8340.00
aristokrat_hotel,Отель Аристократ,2026-08-16,12,11,19,91.67,5100.00
the_sky_of_lake_baikal,Небо Байкала,2026-08-16,0,2,3,100.0,3463.00
city_park_hotel_13,Меблированные комнаты City Park,2026-08-16,0,6,6,100.0,2550.00
mini_hotel_vizit,Гостиница Визит,2026-08-16,8,2,5,25.0,2671.00
grand_baikal,Отель Гранд Байкал,2026-08-16,64,11,22,17.19,5737.00
history_boutiquehotel,Отель HISTORY Бутик-отель и СПА,2026-08-16,40,38,76,95.0,22443.75
azatai_park_hotel,"Парк-отель ""Азатай""",2026-08-16,0,20,38,100.0,14849.00
podlemorie_hotel,Отель Подлеморье,2026-08-16,14,7,16,50.0,6900.00
baikal_business_center_hotel,Отель Байкал Бизнес Центр,2026-08-16,59,8,16,13.56,7500.00
malinovka_3,Малиновка,2026-08-16,0,4,11,100.0,3462.00
international_hotel_sayen,SAYEN,2026-08-16,25,12,26,48.0,20000.00
lotos_hotel,Отель Лотос,2026-08-16,23,8,16,34.78,2500.00
mayak_hotel_listvyanka,Отель Маяк,2026-08-16,54,3,3,5.56,7000.00
otel_tsentral,Отель Централь,2026-08-16,48,14,28,29.17,8455.00
montana_hostel,Меблированные комнаты Montana,2026-08-16,9,9,10,100.0,800.00
baikal_forest_hotel,Отель Форест,2026-08-16,156,10,20,6.41,10150.00
mihail_strogov,Отель Михаил Строгов,2026-08-16,20,3,3,15.0,4451.00
baza_otdykha_olkhon,База отдыха Ольхон,2026-08-16,50,35,97,70.0,4936.00
vera_baikal,Отель Вера Байкал,2026-08-16,38,25,50,65.79,7900.00
baykal_shale_guest_house,Байкал Шале,2026-08-16,11,4,12,36.36,5194.00
olkhon_inn,Olkhon Inn,2026-08-16,0,38,76,100.0,6650.00
larus,Отель Ларус,2026-08-16,14,4,8,28.57,5214.00
alaniya,Алания,2026-08-16,0,4,8,100.0,3958.00
bajkal_severnoe_more_hotel,Отель Байкал - Северное Море,2026-08-16,119,100,163,84.03,6504.00
atlas_hotel_3,Гостиница Атлас,2026-08-16,29,6,13,20.69,5392.80
gostevoj_dom_na_zvezdinskoj,Отель на Звездинской,2026-08-16,25,35,75,100.0,3750.00
gostevoy_dom_briz_3,Меблированные комнаты БРИЗ,2026-08-16,16,7,18,43.75,4452.00
baykal_guest_house_3,Меблированные комнаты Байкал,2026-08-16,0,10,12,100.0,3463.00
hotel_flagman_olkhona,Отель Флагман Ольхона,2026-08-16,15,17,35,100.0,9100.00
7_dorog,Гостиница 7 дорог,2026-08-16,19,5,9,26.32,4750.00
dauria_hotel_2,Отель Даурия,2026-08-16,4,10,20,100.0,6500.00
solnechny_guest_house_7,Cолнечный,2026-08-16,0,2,4,100.0,1182.00
archi_apt_apartments,Отель Baikal Archi Apt,2026-08-16,7,3,7,42.86,3702.00
izumrud_hotel_7,Отель Изумруд,2026-08-16,9,11,15,100.0,3463.00
legendy_baykala,Гостиница Легенды Байкала,2026-08-16,18,6,9,33.33,1137.00
baikalbabr,Baikal-babr,2026-08-16,0,5,12,100.0,8407.00
flagman_hotel,Отель Флагман,2026-08-16,10,4,10,40.0,6500.00
magas,Отель на Перроне,2026-08-16,25,18,37,72.0,1483.00
parus_18,Курортный отель Парус,2026-08-16,17,6,13,35.29,5100.00
guest_house_baykal,В объятиях Байкала,2026-08-16,0,5,10,100.0,7000.00
inn_oasis_2,База отдыха Оазис,2026-08-16,13,10,22,76.92,5937.00
gostevoj_dom_otdyih_na_bajkale,Отель Отдых на Байкале,2026-08-16,11,5,10,45.45,2972.00
smart_hotel_kdo_irkutsk_hotel,Отель Smart Hotel Иркутск,2026-08-16,7,3,5,42.86,1699.00
taiga_2,Отель Тайга,2026-08-16,101,34,49,33.66,5531.00
guesthouse_dudeevukh,Меблированные комнаты Дудеевых,2026-08-16,0,2,5,100.0,4037.00
miniotel_gostinitsa_nerpenok,Нерпенок,2026-08-16,0,8,20,100.0,6431.00
uda_2,Отель УДА,2026-08-16,45,42,62,93.33,1682.00
miniotel_serdtse_baykala,Сердце Байкала,2026-08-16,0,4,7,100.0,13853.00
hotel_sozvezdie_baikala,Отель Созвездие Байкала,2026-08-16,22,13,26,59.09,4500.00
gostinitsa_akademicheskaya,Отель Гостиница Академическая,2026-08-16,48,11,20,22.92,4400.00
kheyvitsa_guest_house,Отель Гостевой Дом Хейвица,2026-08-16,8,6,12,75.0,5244.00
matreshka_hotel,Отель Матрешка,2026-08-16,35,16,30,45.71,4542.00
hotel_kurshavel_,Отель Куршавель,2026-08-16,15,11,23,73.33,4000.00
baikal_view_hotel,Baikal View Hotel,2026-08-16,99,41,84,41.41,12384.00
lada_8,Отель Гостиница ЛАДА,2026-08-16,22,13,26,59.09,4600.00
artrezidentsiya_port_olhon,Арт-отель Порт Ольхон,2026-08-16,65,18,33,27.69,11500.00
beliy_sobol_parkhotel,Парк-отель Белый Соболь,2026-08-16,32,17,41,53.12,7840.00
eko_baikalwood_hotel,Отель БайкалВуд,2026-08-16,44,40,80,90.91,16675.00
brusinka,Меблированные комнаты Брусника,2026-08-16,3,1,3,33.33,2473.00
lazurny_bereg_hotel_,Гостиница Лазурный берег,2026-08-16,65,2,3,3.08,3900.00
