ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
irkutsk_city_center,Отель Иркутск Сити Центр,2026-08-28,206,101,202,49.03,5500.00
angara_hotel,Ангара Отель,2026-08-28,300,108,181,36.0,5250.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-08-28,100,11,20,11.0,7000.00
baza_otdykha_gostiny_dvor_vdokhnovenie,Отель Гостиный Двор Вдохновение,2026-08-28,34,12,24,35.29,6000.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-08-28,56,63,104,100.0,3640.00
tajga_hotel,Отель Тайга,2026-08-28,44,2,4,4.55,10000.00
ibis_irkutsk_center,Отель Ибис Иркутск Центр,2026-08-28,128,56,112,43.75,5150.00
victory_hotel_4,Гостиница Виктория,2026-08-28,30,8,16,26.67,3800.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-08-28,46,26,52,56.52,17100.00
divobaykala_flat_1,Диво Байкала 1,2026-08-28,0,1,2,100.0,2473.50
hotel_harats_inn,Отель Harat's inn,2026-08-28,12,10,20,83.33,4352.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,2026-08-28,15,14,23,93.33,3163.50
evropa_hotel,Отель Европа,2026-08-28,58,38,58,65.52,5040.00
hotel_anastasiya_2,Отель ГК Анастасия,2026-08-28,26,31,59,100.0,7280.00
otel_irkut,Отель Иркут,2026-08-28,30,20,37,66.67,3350.00
vozdushnaya_gavan,Отель Воздушная Гавань,2026-08-28,140,68,116,48.57,4747.00
hotel_nataly_2,Отель Натали,2026-08-28,12,3,5,25.0,4500.00
history_boutiquehotel,Отель HISTORY Бутик-отель и СПА,2026-08-28,40,43,86,100.0,22443.75
praskovya_guest_house,Отель Прасковья,2026-08-28,12,8,9,66.67,1979.00
lyuks_hotel_4,Отель Люкс,2026-08-28,15,11,22,73.33,2473.00
bajkal_hotel,Отель Байкал,2026-08-28,72,22,42,30.56,9500.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-08-28,28,21,41,75.0,7200.00
vera_baikal,Отель Вера Байкал,2026-08-28,38,24,48,63.16,7900.00
bolshoe_puteshestvie_hotel,Кемпинг Отель Ольхон,2026-08-28,10,16,44,100.0,3953.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-08-28,48,24,61,50.0,3500.00
yakovlev_hotel,Отель Яковлевъ,2026-08-28,25,13,26,52.0,3197.00
international_hotel_sayen,SAYEN,2026-08-28,25,20,40,80.0,20000.00
grand_baikal,Отель Гранд Байкал,2026-08-28,64,12,22,18.75,4253.00
otel_tsentral,Отель Централь,2026-08-28,48,57,114,100.0,7505.00
hotel_nikola_2,Отель Никола,2026-08-28,27,25,50,92.59,6520.00
empire_hotel_3,Гостиница Империя,2026-08-28,49,11,19,22.45,4500.00
miniotel_good_hotel,Мини-Отель Good Hotel,2026-08-28,6,2,5,33.33,2200.00
gostevoy_dom_sunrise,Sunrise,2026-08-28,0,3,7,100.0,7421.00
